ensemble,c,L,n,condition,kind,scale_sites,used_t_min,used_t_max,full_length_sites_end,length_over_scale_end,phase_fraction_end,phase_fraction_bias_end,alpha,delta_vs_full,delta_low,delta_high,unresolved_fraction
original,0.15,128,8,full,unscaled,nan,1069,19557,2.8525226179384138,nan,0.1500244140625,2.441406250000555e-05,0.2314909147397411,0.0,0.0,0.0,0.0
original,0.15,128,8,bin2,block_width,2.0,1069,19557,2.8525226179384138,1.4262613089692069,0.164337158203125,0.014337158203125006,0.22045772076841103,-0.011033193971330069,-0.014427587752292945,-0.007487559215811612,0.0
original,0.15,128,8,bin4,block_width,4.0,1069,19557,2.8525226179384138,0.7131306544846034,0.1395263671875,-0.010473632812499994,0.1590661202669059,-0.0724247944728352,-0.0773672611138347,-0.06761362655720435,0.0
original,0.15,128,8,blur1,blur_sigma,1.0,1069,19557,2.8525226179384138,2.8525226179384138,0.1380767822265625,-0.011923217773437494,0.22063962638731718,-0.01085128835242391,-0.01307645434255788,-0.008355589926090905,0.0
original,0.15,128,8,blur2,blur_sigma,2.0,1069,19557,2.8525226179384138,1.4262613089692069,0.11531829833984375,-0.034681701660156244,0.23002726453927175,-0.0014636502004693464,-0.010068080698571106,0.007117044315053068,0.10208333333333333
original,0.15,128,8,blur1_threshold_minus02,blur_sigma,1.0,1069,19557,2.8525226179384138,2.8525226179384138,0.1533355712890625,0.0033355712890625056,0.2124786990510047,-0.0190122156887364,-0.021064110058202693,-0.017195144938554903,0.0
original,0.15,128,8,blur1_threshold_plus02,blur_sigma,1.0,1069,19557,2.8525226179384138,2.8525226179384138,0.12149810791015625,-0.028501892089843744,0.23463735688708956,0.003146442147348466,-0.0001267031299068348,0.007410990125513178,0.0
original,0.15,128,8,crop96,field_width,96.0,1069,19557,2.8525226179384138,0.02971377727019181,0.15027872721354166,0.00027872721354166297,0.23409789544134962,0.00260698070160853,-0.0030371487851755,0.008520890256501037,0.0
original,0.15,128,8,crop64,field_width,64.0,1069,19557,2.8525226179384138,0.044570665905287715,0.1500244140625,2.441406250000555e-05,0.2313109380628806,-0.0001799766768604827,-0.004176346880466813,0.004109711361796595,0.0
original,0.15,128,8,crop32,field_width,32.0,1069,19557,2.8525226179384138,0.08914133181057543,0.150909423828125,0.0009094238281250056,0.2274352955337105,-0.004055619206030592,-0.02773246487810585,0.018772973519607248,0.0
original,0.5,128,8,full,unscaled,nan,1069,19557,3.479620686683252,nan,0.5,0.0,0.23563868234943858,0.0,0.0,0.0,0.0
original,0.5,128,8,bin2,block_width,2.0,1069,19557,3.479620686683252,1.739810343341626,0.536865234375,0.036865234375,0.2311392213456199,-0.004499461003818678,-0.0067701199553547985,-0.0023157818142723772,0.0
original,0.5,128,8,bin4,block_width,4.0,1069,19557,3.479620686683252,0.869905171670813,0.513427734375,0.013427734375,0.17997911586035512,-0.05565956648908346,-0.059561198746886534,-0.052199599043742884,0.0
original,0.5,128,8,blur1,blur_sigma,1.0,1069,19557,3.479620686683252,3.479620686683252,0.49985504150390625,-0.00014495849609375,0.2160885859507399,-0.019550096398698674,-0.020433035748637616,-0.018655659769751403,0.0
original,0.5,128,8,blur2,blur_sigma,2.0,1069,19557,3.479620686683252,1.739810343341626,0.49903106689453125,-0.00096893310546875,0.17881294899078343,-0.05682573335865515,-0.05941045870010971,-0.05397051859878618,0.0
original,0.5,128,8,blur1_threshold_minus02,blur_sigma,1.0,1069,19557,3.479620686683252,3.479620686683252,0.5280380249023438,0.02803802490234375,0.21613577414509863,-0.019502908204339947,-0.02130523945040064,-0.017865442838945235,0.0
original,0.5,128,8,blur1_threshold_plus02,blur_sigma,1.0,1069,19557,3.479620686683252,3.479620686683252,0.4714508056640625,-0.0285491943359375,0.2160138982217364,-0.01962478412770219,-0.020853702907812115,-0.01835257383479215,0.0
original,0.5,128,8,crop96,field_width,96.0,1069,19557,3.479620686683252,0.03624604881961721,0.5003289116753472,0.0003289116753472099,0.24027616397492318,0.004637481625484607,0.0006679688802993342,0.008543040667450945,0.0
original,0.5,128,8,crop64,field_width,64.0,1069,19557,3.479620686683252,0.054369073229425816,0.5,0.0,0.2374094280644294,0.0017707457149908346,0.0004728979183484937,0.003202954592769527,0.0
original,0.5,128,8,crop32,field_width,32.0,1069,19557,3.479620686683252,0.10873814645885163,0.490875244140625,-0.009124755859375,0.23401596366586477,-0.0016227186835738039,-0.01848700570735435,0.018410849320654576,0.058333333333333334
fresh,0.15,128,4,full,unscaled,nan,1224,20000,2.95088225952797,nan,0.1500244140625,2.441406250000555e-05,0.24697743676154205,0.0,0.0,0.0,0.0
fresh,0.15,128,4,bin2,block_width,2.0,1224,20000,2.95088225952797,1.475441129763985,0.1640625,0.014062500000000006,0.23662899247299599,-0.01034844428854606,-0.013754236777678064,-0.006902415372804912,0.0
fresh,0.15,128,4,bin4,block_width,4.0,1224,20000,2.95088225952797,0.7377205648819924,0.1435546875,-0.0064453124999999944,0.1735230477563842,-0.07345438900515786,-0.08793924548460905,-0.059522433641062245,0.0
fresh,0.15,128,4,blur1,blur_sigma,1.0,1224,20000,2.95088225952797,2.95088225952797,0.138214111328125,-0.011785888671874994,0.24069547860785157,-0.006281958153690481,-0.012703778466386095,-0.00012505105538751504,0.0
fresh,0.15,128,4,blur2,blur_sigma,2.0,1224,20000,2.95088225952797,1.475441129763985,0.11712646484375,-0.032873535156249994,0.24407065257152305,-0.002906784190018996,-0.026770539609407284,0.018060328541135956,0.08552631578947369
fresh,0.15,128,4,blur1_threshold_minus02,blur_sigma,1.0,1224,20000,2.95088225952797,2.95088225952797,0.1536712646484375,0.0036712646484375056,0.23006076985268217,-0.016916666908859873,-0.02337095548828033,-0.011177288445658878,0.0
fresh,0.15,128,4,blur1_threshold_plus02,blur_sigma,1.0,1224,20000,2.95088225952797,2.95088225952797,0.1224517822265625,-0.027548217773437494,0.25399509341874194,0.007017656657199889,-0.0002957677642398959,0.015417479756533847,0.0
fresh,0.15,128,4,crop96,field_width,96.0,1224,20000,2.95088225952797,0.030738356870083017,0.14634195963541666,-0.003658040364583337,0.2512767068399166,0.004299270078374551,0.0036769228528005238,0.005690714552659848,0.0
fresh,0.15,128,4,crop64,field_width,64.0,1224,20000,2.95088225952797,0.04610753530512453,0.1500244140625,2.441406250000555e-05,0.24802957983831259,0.0010521430767705398,-0.0008619017414157632,0.004758751805489098,0.0
fresh,0.15,128,4,crop32,field_width,32.0,1224,20000,2.95088225952797,0.09221507061024906,0.15887451171875,0.008874511718750006,0.20093263132186642,-0.04604480543967562,-0.06231377764142093,-0.03439918538579323,0.0
fresh,0.5,128,4,full,unscaled,nan,1224,20000,3.4966688489746574,nan,0.5,0.0,0.24256423666775176,0.0,0.0,0.0,0.0
