droplet_size_lattice_sites
6
33
31
6
65
25
38
34
44
27
23
15
63
5
17
20
27
10
5
32
4
56
26
26
15
27
29
55
6
15
51
8
4
6
30
4
5
36
18
8
60
60
59
13
33
60
7
26
61
40
34
29
6
10
24
38
4
64
27
5
17
38
36
24
4
23
17
61
14
6
49
32
57
10
44
16
61
6
5
36
25
53
12
31
7
12
7
8
4
9
13
4
36
18
30
40
67
10
44
5
31
49
11
36
14
74
30
23
42
23
54
29
48
4
42
14
11
19
6
44
27
5
55
34
60
15
46
43
31
33
32
18
47
26
5
39
45
19
29
5
4
80
23
27
49
6
49
45
53
45
49
7
9
6
28
4
14
55
13
15
43
13
9
30
47
13
24
56
37
14
16
44
5
13
27
27
45
63
4
37
49
46
22
29
33
6
5
49
4
12
36
22
16
41
54
17
4
12
46
4
8
27
16
33
46
23
49
21
31
36
31
43
4
7
19
12
79
33
57
37
13
44
25
5
38
47
30
27
7
31
16
21
39
36
19
24
5
26
46
38
11
13
31
41
61
5
27
50
16
34
26
47
4
63
39
25
15
70
10
14
36
6
13
5
32
71
34
27
29
24
29
5
7
53
9
7
8
10
37
54
12
42
6
57
32
21
10
30
4
29
32
27
14
5
32
34
5
13
22
35
11
20
43
43
35
7
37
5
4
25
41
47
23
35
51
14
8
27
30
25
10
50
52
26
23
60
16
14
54
38
37
8
4
11
6
55
29
44
18
41
65
31
17
4
65
50
15
31
23
4
55
21
44
18
17
70
11
46
42
7
32
10
25
73
25
67
28
17
4
4
10
32
11
13
7
36
40
40
33
4
42
20
33
44
31
35
13
6
38
75
27
6
21
31
39
13
35
12
36
5
38
10
4
33
33
62
53
8
51
30
44
34
58
4
37
29
57
30
18
35
32
53
40
28
48
64
27
25
11
50
41
17
38
49
25
35
19
69
5
14
35
62
51
23
25
32
5
24
26
5
7
28
46
48
29
4
4
5
35
41
58
20
4
4
39
23
5
9
42
68
4
15
36
4
39
20
5
24
41
30
13
29
9
8
4
4
38
44
5
42
39
45
27
6
23
36
16
4
44
67
25
25
50
8
45
25
40
22
17
6
51
6
62
