file,c,L,t,threshold_05,positive_lobe,spectral_moment,inverse_interface_proxy
c0_L128_rep000.npz,0.5,128,1,0.6675518111801253,0.7661868245822103,3.2097724317122056,2.6701434159061277
c0_L128_rep000.npz,0.5,128,2,0.710902947182017,0.8051915737408786,3.3595713628189805,2.842963734166233
c0_L128_rep000.npz,0.5,128,3,0.7365458638314268,0.8351078684833697,3.4456957393988232,2.945173467553478
c0_L128_rep000.npz,0.5,128,4,0.758524344238485,0.860679402070887,3.51525973580644,3.033512312534716
c0_L128_rep000.npz,0.5,128,5,0.7802404115768171,0.8797102960001304,3.5904934100093646,3.120761904761905
c0_L128_rep000.npz,0.5,128,6,0.797083545138222,0.9020679600934616,3.6410863812621206,3.18816890445612
c0_L128_rep000.npz,0.5,128,7,0.8058175950953936,0.9174146909971495,3.6684207290276154,3.222659323367427
c0_L128_rep000.npz,0.5,128,8,0.8205679857473244,0.9338086646262362,3.713100498832294,3.2807368842611133
c0_L128_rep000.npz,0.5,128,10,0.8454198073371879,0.957317983345682,3.7915290637575243,3.380932728023112
c0_L128_rep000.npz,0.5,128,12,0.8630032603222826,0.9811138515695194,3.8453457865003795,3.4514430166420897
c0_L128_rep000.npz,0.5,128,15,0.8871595330739299,1.0015970849346816,3.916867896193855,3.5486246480398527
c0_L128_rep000.npz,0.5,128,18,0.8985381386597192,1.017028520990161,3.957328016227687,3.5937705637201143
c0_L128_rep000.npz,0.5,128,22,0.9247861073328572,1.036538929101452,4.0381758023145515,3.698419864559819
c0_L128_rep000.npz,0.5,128,27,0.946116680013682,1.0600752726011238,4.100112891125611,3.7838337182448036
c0_L128_rep000.npz,0.5,128,33,0.969985823747914,1.0926606347253014,4.17313152448204,3.8797063698792327
c0_L128_rep000.npz,0.5,128,40,1.002550058933454,1.121537325846409,4.257122028054186,3.9970724566967553
c0_L128_rep000.npz,0.5,128,48,1.0206839546645372,1.139211271588569,4.306649910785847,4.059464816650149
c0_L128_rep000.npz,0.5,128,58,1.0460797364956465,1.1685498970420407,4.3592053580111685,4.132156368221942
c0_L128_rep000.npz,0.5,128,71,1.084705768036307,1.192729130845563,4.444792073159718,4.254479356011426
c0_L128_rep000.npz,0.5,128,86,1.1174145398658717,1.2214337249974698,4.518363817675011,4.356288221217762
c0_L128_rep000.npz,0.5,128,105,1.1465871642774759,1.2610489168103527,4.580132446526794,4.438905445678678
c0_L128_rep000.npz,0.5,128,127,1.1750301386377335,1.287828694327112,4.6571472559153415,4.533480907581627
c0_L128_rep000.npz,0.5,128,154,1.2192514818171176,1.330724422473729,4.7557260963928405,4.67846944603084
c0_L128_rep000.npz,0.5,128,187,1.2711376797180254,1.3915434182967212,4.874086448061967,4.833038348082596
c0_L128_rep000.npz,0.5,128,227,1.300198165911247,1.4206084744726533,4.939547311283016,4.930484501956064
c0_L128_rep000.npz,0.5,128,276,1.3687758399767715,1.4775343697462033,5.097894509265407,5.168454258675079
c0_L128_rep000.npz,0.5,128,334,1.4142465094278072,1.5311717098938122,5.198067930575654,5.297122534755901
c0_L128_rep000.npz,0.5,128,406,1.4826589803302017,1.5997031658901908,5.347087466617308,5.529530880863989
c0_L128_rep000.npz,0.5,128,493,1.4972663863856863,1.6207787780579777,5.407164961367029,5.586089328332765
c0_L128_rep000.npz,0.5,128,598,1.578494027206823,1.7104287857816804,5.595835481399938,5.872401433691756
c0_L128_rep000.npz,0.5,128,726,1.6359189009138104,1.7656210949458977,5.721218912834763,6.041297935103245
c0_L128_rep000.npz,0.5,128,881,1.6801278142672742,1.824139500232893,5.815920118766594,6.1663530297327815
c0_L128_rep000.npz,0.5,128,1069,1.752098446342612,1.8985174530229694,5.982024446885741,6.392508778774873
c0_L128_rep000.npz,0.5,128,1298,1.8004747811074115,1.9529162767295385,6.065453628907893,6.504168320762207
c0_L128_rep000.npz,0.5,128,1576,1.907660340917722,2.052658399948897,6.33238943044596,6.957112526539278
c0_L128_rep000.npz,0.5,128,1912,1.9827993375861297,2.138234002297125,6.497114856202672,7.189118034225538
c0_L128_rep000.npz,0.5,128,2321,2.0970938585278116,2.2570938709278128,6.679360108960041,7.437131184748071
c0_L128_rep000.npz,0.5,128,2818,2.1965995700605823,2.3661012775398875,6.897051046810942,7.73194903256253
c0_L128_rep000.npz,0.5,128,3420,2.2944124761765137,2.46341500610966,7.11668064161577,8.039254170755642
c0_L128_rep000.npz,0.5,128,4151,2.4235622784695527,2.5940385185822805,7.405254383440802,8.520020800832034
c0_L128_rep000.npz,0.5,128,5039,2.5441370002820043,2.7311668230857684,7.604855820770041,8.747463961558996
