c,L,n,condition,t_min,t_max,points,used_t_min,used_t_max,alpha,low,high,delta_vs_full,delta_low,delta_high,unresolved_fraction,matched_last_time,matched_last_length_ratio
0.15,64,8,blur1,1000,200000,28,1069,200000,0.2512674336345662,0.2417094698403925,0.2601712701600188,-0.011404181729163965,-0.013899895782195705,-0.009342496786288982,0.0,200000,1.0685993793959856
0.15,64,8,blur2,100,20000,28,105,19557,0.21199646348754742,0.19139245272911712,0.23615613124809484,-0.001711582595000316,-0.018954123105472193,0.020351524981048134,0.15,19557,1.1513001030969974
0.15,64,8,blur2,1000,20000,16,1069,19557,0.2504994955731677,0.23126002343881508,0.2688280985924686,0.013930642610916949,0.001155113417174076,0.029046275148532325,0.15,19557,1.1513001030969974
0.15,64,8,blur2,1000,200000,28,1069,200000,0.25484053473421425,0.24631490273220316,0.26135779571408174,-0.00783108062951593,-0.013252676336544793,-0.0018744742939991064,0.15,200000,1.074641133413048
0.15,64,8,blur1_threshold_minus02,100,20000,28,105,19557,0.188892335022838,0.18073441863796152,0.19553934487487615,-0.024815711059709727,-0.027757262063970133,-0.021646567522285887,0.0,19557,1.1473134356753025
0.15,64,8,blur1_threshold_minus02,1000,20000,16,1069,19557,0.22114296025499247,0.20207615126928888,0.23657912639736867,-0.015425892707258276,-0.020992012126185802,-0.008481647129716585,0.0,19557,1.1473134356753025
0.15,64,8,blur1_threshold_minus02,1000,200000,28,1069,200000,0.24223700571389303,0.2335082971436161,0.2505144256464111,-0.02043460964983715,-0.022317973595663423,-0.01878160081928909,0.0,200000,1.0825922098697258
0.15,64,8,blur1_threshold_plus02,100,20000,28,105,19557,0.21589380627574553,0.2048252490887824,0.2257289075486302,0.0021857601931978,-0.0026845727406762864,0.006818445716790819,0.0,19557,1.085746774532965
0.15,64,8,blur1_threshold_plus02,1000,20000,16,1069,19557,0.2475234121365544,0.22706536173588412,0.2645332190834043,0.010954559174303657,0.006465432378048823,0.017561330885137668,0.0,19557,1.085746774532965
0.15,64,8,blur1_threshold_plus02,1000,200000,28,1069,200000,0.2633316028155735,0.2535737912808228,0.27263756452603755,0.0006599874518433135,-0.002353367771833893,0.0033634789651379297,0.0,200000,1.0534573511741792
0.15,64,8,periodic_engine,100,20000,28,105,19557,0.21699779870146038,0.2055680507545093,0.22821767240382015,0.0032897526189126503,-0.0016081156023803902,0.007828773466199835,0.0,19557,1.0209162957991393
0.15,64,8,periodic_engine,1000,20000,16,1069,19557,0.24547290542562683,0.22063398513835947,0.26890498424898485,0.008904052463376083,-0.001644563160873523,0.01824888862688097,0.0,19557,1.0209162957991393
0.15,64,8,periodic_engine,1000,200000,28,1069,200000,0.2632969442875218,0.2543117029742436,0.27168956856401255,0.0006253289237916348,-0.006612539550908271,0.007608765402723468,0.0,200000,0.9830120341805416
0.15,96,8,full,100,20000,28,105,19557,0.2110675427991134,0.20557193960678363,0.21658472667418976,0.0,0.0,0.0,0.0,19557,1.0
0.15,96,8,full,1000,20000,16,1069,19557,0.213468467642485,0.20176458203827324,0.22463861388941064,0.0,0.0,0.0,0.0,19557,1.0
