concentration,fitted_exponent,fitted_exponent_stderr
0.500000,0.502129,0.005690
0.350000,0.488190,0.010204
0.250000,0.509742,0.004089
0.150000,0.488389,0.006934
0.100000,0.487661,0.005470
0.060000,0.496239,0.005244
