composition,L,n_replicas,early_start,late_start,nominal_end,early_actual_start,early_actual_end,late_actual_start,late_actual_end,early_points,late_points,early_alpha,late_alpha,delta_late_minus_early,delta_low,delta_high,valid_bootstrap_draws,total_bootstrap_draws
0.5,128,8,2,1000,200000,2,200000,1069,200000,59,28,0.19707322835498012,0.25774540669922497,0.06067217834424485,0.05705753842546456,0.06461704556628349,5000,5000
0.5,128,8,100,1000,200000,105,200000,1069,200000,40,28,0.23290598619899094,0.25774540669922497,0.024839420500234022,0.022104302847264,0.027633291554772316,5000,5000
0.15,128,8,2,1000,200000,2,200000,1069,200000,59,28,0.1963094939241836,0.26037317015856276,0.06406367623437917,0.05670744702992242,0.07126467704673423,5000,5000
0.15,128,8,100,1000,200000,105,200000,1069,200000,40,28,0.23619050358472332,0.26037317015856276,0.02418266657383944,0.01881439561907702,0.02947807518395053,5000,5000
