c,L,target_sweep,actual_sweep,n,length,length_se,status
0.5,128,1000,1069,8,1.757415019929403,0.005651224756584872,resolved
0.5,128,10000,10937,8,2.9872338432619774,0.020368435712312307,resolved
0.5,128,100000,92142,8,5.404236255450791,0.05441997259530373,resolved
0.5,128,200000,200000,8,6.770711903836118,0.08186867717755016,resolved
0.15,128,1000,1069,8,1.475042586916687,0.0075669178523563845,resolved
0.15,128,10000,10937,8,2.498847197690396,0.03973777969567245,resolved
0.15,128,100000,92142,8,4.489609020289944,0.0605919787466322,resolved
0.15,128,200000,200000,8,5.688746204055685,0.08354576772334268,resolved
