composition,L,sweep,n_replicas,resolved_all,resolved_x,resolved_y,mean_length_x,mean_length_y,mean_length,standard_error,length_over_L
0.5,32,1,16,True,16,16,0.6653623549081521,0.6773051672264259,0.6713337610672889,0.006742508781668891,0.02097918003335278
0.5,32,2,16,True,16,16,0.7071176962414842,0.7137935796451715,0.7104556379433279,0.006167229651663124,0.022201738685728997
0.5,32,3,16,True,16,16,0.7310308669626802,0.7386381632900441,0.734834515126362,0.006549861272623159,0.022963578597698812
0.5,32,4,16,True,16,16,0.7597097154485162,0.7498870141512697,0.754798364799893,0.007081384975275336,0.023587448899996658
0.5,32,5,16,True,16,16,0.7695282952326695,0.769048758905549,0.7692885270691093,0.0066348710398294805,0.024040266470909667
0.5,32,6,16,True,16,16,0.7909410012674516,0.7885156515397893,0.7897283264036205,0.006830803200199333,0.02467901020011314
0.5,32,7,16,True,16,16,0.8084740415486824,0.8094744726652662,0.8089742571069742,0.00742286877130754,0.025280445534592945
0.5,32,8,16,True,16,16,0.825570463837531,0.8137969457537237,0.8196837047956274,0.007062009512091615,0.025615115774863355
0.5,32,10,16,True,16,16,0.8481356922248657,0.8490487124731916,0.8485922023490288,0.00793979587012967,0.02651850632340715
0.5,32,12,16,True,16,16,0.8631557284992237,0.8672552103056133,0.8652054694024185,0.006176242206411426,0.027037670918825578
0.5,32,14,16,True,16,16,0.8798263401325033,0.878659518557514,0.8792429293450086,0.007602327090830816,0.027476341542031518
0.5,32,16,16,True,16,16,0.8928510265032138,0.8993923056281543,0.896121666065684,0.007373005770957686,0.028003802064552625
0.5,32,20,16,True,16,16,0.9072044873545757,0.9245918059747547,0.9158981466646652,0.008426810198939896,0.028621817083270787
0.5,32,23,16,True,16,16,0.923822193885971,0.9418907818323625,0.9328564878591669,0.00769772719311442,0.029151765245598964
0.5,32,28,16,True,16,16,0.948717347248491,0.9816867994345952,0.9652020733415432,0.00706773157692486,0.030162564791923224
0.5,32,33,16,True,16,16,0.9688124598641084,1.00252477512407,0.9856686174940892,0.009762429581111755,0.030802144296690287
0.5,32,39,16,True,16,16,0.9915247558040685,1.0190266696303105,1.0052757127171896,0.009346809392634272,0.031414866022412176
0.5,32,47,16,True,16,16,1.0097686197942572,1.0525971252347204,1.031182872514489,0.012168372475409705,0.03222446476607778
0.5,32,56,16,True,16,16,1.0362153136218728,1.071391063072249,1.0538031883470609,0.015020280129147471,0.03293134963584565
0.5,32,66,16,True,16,16,1.064223414094152,1.1194207329444505,1.0918220735193014,0.01483596817740797,0.03411943979747817
