composition,L,method,nominal_t_min,nominal_t_max,used_t_min,used_t_max,n_replicas,n_points,alpha,bootstrap_low,bootstrap_high,max_length_over_L
0.5,32,primary_unfiltered,1000,20000,1091,17913,16,17,0.26439092791247376,0.23340006105862499,0.2946255596364283,0.11510999086085821
0.5,32,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.26439092791247376,0.23340006105862499,0.2946255596364283,0.11510999086085821
0.5,32,primary_unfiltered,1000,200000,1091,36055,16,21,0.275793940656339,0.24674330146360435,0.3046811909570706,0.15053174997569377
0.5,32,ell_over_L_below_0.15_sensitivity,1000,200000,1091,30270,16,20,0.2692970503358161,0.24167916689065236,0.29632666454777196,0.13557914813668687
0.5,32,primary_unfiltered,20000,200000,21336,36055,16,4,nan,nan,nan,0.15053174997569377
0.5,32,ell_over_L_below_0.15_sensitivity,20000,200000,21336,30270,16,3,nan,nan,nan,0.13557914813668687
0.5,32,primary_unfiltered,20000,1000000,21336,36055,16,4,nan,nan,nan,0.15053174997569377
0.5,32,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,30270,16,3,nan,nan,nan,0.13557914813668687
0.5,32,primary_unfiltered,200000,1000000,,,16,0,nan,nan,nan,
0.5,32,ell_over_L_below_0.15_sensitivity,200000,1000000,,,16,0,nan,nan,nan,
0.5,64,primary_unfiltered,1000,20000,1091,17913,16,17,0.24100073447613765,0.22771838105441167,0.2541425851955197,0.053501541009066185
0.5,64,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.24100073447613765,0.22771838105441167,0.2541425851955197,0.053501541009066185
0.5,64,primary_unfiltered,1000,200000,1091,173983,16,28,0.28506800356140927,0.2611369949736259,0.31624975726838495,0.11859471923525289
0.5,64,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,28,0.28506800356140927,0.2611369949736259,0.31624975726838495,0.11859471923525289
0.5,64,primary_unfiltered,20000,200000,21336,173983,16,11,0.35584999584080723,0.29538320856681916,0.4292299058467317,0.11859471923525289
0.5,64,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,11,0.35584999584080723,0.29538320856681916,0.4292299058467317,0.11859471923525289
0.5,64,primary_unfiltered,20000,1000000,21336,350190,16,13,0.3231751449166313,0.2921781409957756,0.35718611376851644,0.13591852726358375
0.5,64,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,350190,16,13,0.3231751449166313,0.2921781409957756,0.35718611376851644,0.13591852726358375
0.5,64,primary_unfiltered,200000,1000000,294005,350190,16,2,nan,nan,nan,0.13591852726358375
0.5,64,ell_over_L_below_0.15_sensitivity,200000,1000000,294005,350190,16,2,nan,nan,nan,0.13591852726358375
0.5,96,primary_unfiltered,1000,20000,1091,17913,16,17,0.23383176828945842,0.22639648675897947,0.243177103089975,0.03544049790866002
0.5,96,ell_over_L_below_0.15_sensitivity,1000,20000,1091,17913,16,17,0.23383176828945842,0.22639648675897947,0.243177103089975,0.03544049790866002
0.5,96,primary_unfiltered,1000,200000,1091,173983,16,30,0.262393182344266,0.25536867168704974,0.27207532899328524,0.06888258387697561
0.5,96,ell_over_L_below_0.15_sensitivity,1000,200000,1091,173983,16,30,0.262393182344266,0.25536867168704974,0.27207532899328524,0.06888258387697561
0.5,96,primary_unfiltered,20000,200000,21336,173983,16,13,0.2977573521608668,0.2751225833656985,0.31866024647759045,0.06888258387697561
0.5,96,ell_over_L_below_0.15_sensitivity,20000,200000,21336,173983,16,13,0.2977573521608668,0.2751225833656985,0.31866024647759045,0.06888258387697561
0.5,96,primary_unfiltered,20000,1000000,21336,839558,16,22,0.30647217057605325,0.29083020254381886,0.3200594161128078,0.11639068047020838
0.5,96,ell_over_L_below_0.15_sensitivity,20000,1000000,21336,839558,16,22,0.30647217057605325,0.29083020254381886,0.3200594161128078,0.11639068047020838
